date,bvsp,bvsp_daily_returns,vol,class
2007-01,43443.03952380952,0.0002992732136918255,0.013668982126758726,Low
2007-02,45163.90777777778,-0.0007496351010083884,0.013378442375597781,Low
2007-03,43999.63590909091,0.002134256186144444,0.020776007403095483,High
2007-04,48052.297999999995,0.0033667886486718037,0.014958497237011462,Low
2007-05,51226.443636363634,0.0030616452086665554,0.01262803558743688,Low
2007-06,53645.4065,0.002059487215693967,0.013034731470639554,Low
2007-07,56199.99142857143,-4.473642514881587e-05,0.012093581994380376,Low
2007-08,52162.84565217391,0.0005971548045328517,0.018995764037796684,High
2007-09,56362.137368421056,0.0054865803570184335,0.019528287352120782,High
2007-10,62680.87727272727,0.0036872338597180613,0.018734610846658808,High
2007-11,62447.87263157895,-0.0016427469157226954,0.02034634206735081,High
2007-12,63469.63333333333,0.0009127048872847321,0.019609658801136673,High
2008-01,59645.30095238095,-0.002983867527915817,0.022137961711693358,High
2008-02,62536.277368421055,0.00357749750911345,0.024104113584834056,High
2008-03,61541.77099999999,-0.0017826906060150137,0.02197483268199095,High
2008-04,64236.15142857142,0.005281638023325781,0.0184107619112396,High
2008-05,71209.66949999999,0.003461643176361767,0.0183095076344695,High
2008-06,67234.06,-0.005079172790832047,0.018059161298498414,High
2008-07,59770.170454545456,-0.003848643729012391,0.018017500935955725,High
2008-08,55456.107142857145,-0.0029867256728104206,0.019039966964231343,High
2008-09,50594.58181818182,-0.004200088334564927,0.028900056000891235,High
2008-10,38142.77826086956,-0.010142318257938142,0.05445797490214528,High
2008-11,35908.334210526315,-1.0353021054658973e-05,0.05680216339875851,High
2008-12,37557.8005,0.001698178525255395,0.04407450941628318,High
2009-01,39568.380476190476,0.0026235329035479297,0.03535417685071664,High
2009-02,40174.26055555556,-0.001376334419035415,0.027626814172921246,High
2009-03,39484.77818181818,0.0035162887271329587,0.026739999374244806,High
2009-04,45217.69,0.007411408331509645,0.02286261099434581,High
2009-05,50893.004499999995,0.006177775812441555,0.02354099014297088,High
2009-06,52060.962857142855,-0.0014086002095324316,0.02034865255095266,High
2009-07,52067.94090909091,0.0029305732094418347,0.017531318312358626,High
2009-08,56662.34714285714,0.0015523518748114503,0.014359929105289528,Low
