bvsp,volume,moving_average_1,moving_average_2,moving_average_3,moving_average_9,moving_average_12,cmp_moving_average_1_moving_average_9,cmp_moving_average_1_moving_average_12,cmp_moving_average_2_moving_average_9,cmp_moving_average_2_moving_average_12,cmp_moving_average_3_moving_average_9,cmp_moving_average_3_moving_average_12,OBV,obv_ma_1,obv_ma_2,obv_ma_3,obv_ma_9,obv_ma_12,cmp_obv_ma_1_obv_ma_9,cmp_obv_ma_1_obv_ma_12,cmp_obv_ma_2_obv_ma_9,cmp_obv_ma_2_obv_ma_12,cmp_obv_ma_3_obv_ma_9,cmp_obv_ma_3_obv_ma_12,mom_9,mom_12,selic,bvsp_returns,risk_premium
12722.73,4224507079000.0,12722.73,13154.26,13074.133333333331,13006.451111111111,13522.274166666664,0.0,0.0,1.0,0.0,1.0,0.0,1.436623821792e+16,1.436623821792e+16,1.43683504714595e+16,1.4367326234462334e+16,1.4364294029259556e+16,1.4366605676223502e+16,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0028244027780885707,-0.06352667014579216,-0.06635107
14047.42,5009737458000.0,14047.42,13385.075,13451.980000000001,12939.005555555555,13368.671666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.4371247955378e+16,1.4371247955378e+16,1.4368743086649e+16,1.4369316299432334e+16,1.4364254943683776e+16,1.4366321194738416e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0028097302520056046,0.10411994909897482,0.10131022
13253.0,5048717582000.0,13253.0,13650.21,13341.049999999997,12791.638888888889,13269.635,1.0,0.0,1.0,1.0,1.0,1.0,1.4366199237796e+16,1.4366199237796e+16,1.4368723596587e+16,1.4367895137031334e+16,1.4364057515186666e+16,1.4366003604698e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.002787090059405739,-0.05655273352686829,-0.05933982
13088.29,4995878938000.0,13088.29,13170.645,13462.90333333333,12717.283333333333,13120.564166666669,1.0,0.0,1.0,1.0,1.0,1.0,1.4361203358858e+16,1.4361203358858e+16,1.4363701298327e+16,1.4366216850677334e+16,1.4363741281592334e+16,1.4364774734614e+16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0027898747666696934,-0.012428129480117622,-0.015218
12858.7,5019554641000.0,12858.7,12973.495,13066.663333333332,12718.362222222224,12970.92,1.0,0.0,1.0,1.0,1.0,1.0,1.4356183804217e+16,1.4356183804217e+16,1.43586935815375e+16,1.4361195466957e+16,1.4363425094099112e+16,1.4363490074502082e+16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0028036991605561567,-0.017541634545078066,-0.02034533
11137.78,6049241334000.0,11137.78,11998.240000000002,12361.589999999998,12774.400000000001,12684.126666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.4350134562883e+16,1.4350134562883e+16,1.435315918355e+16,1.4355840575319334e+16,1.4362992427058556e+16,1.4362003280219834e+16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0027736297867805982,-0.13383312465490294,-0.13660675
9781.76,7777014767000.0,9781.76,10459.77,11259.413333333332,12598.816666666666,12352.815833333334,0.0,0.0,0.0,0.0,0.0,0.0,1.4342357548116e+16,1.4342357548116e+16,1.43462460554995e+16,1.4349558638405334e+16,1.4361033907848334e+16,1.4360195620795584e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027708058225891087,-0.1217495766660861,-0.12452038
10382.72,5245115105000.0,10382.72,10082.24,10434.086666666664,12317.576666666668,12147.293333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.4347602663221e+16,1.4347602663221e+16,1.43449801056685e+16,1.4346698258073334e+16,1.4359070008154222e+16,1.4359243385092666e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027753208746808446,0.061436796650091496,0.05866148
8642.43,7055756409000.0,8642.43,9512.575,9602.303333333331,11768.314444444444,11981.375833333334,0.0,0.0,0.0,0.0,0.0,0.0,1.4340546906812e+16,1.4340546906812e+16,1.43440747850165e+16,1.4343502372716334e+16,1.4355746028355666e+16,1.4358119913473e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293313098991737,-0.1676140741539789,-0.17054721
10172.28,5409611210000.0,10172.28,9407.355,9732.476666666666,11484.931111111111,11882.231666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4345956518022e+16,1.4345956518022e+16,1.4343251712417e+16,1.4344702029351666e+16,1.4353492506144776e+16,1.4356950938224166e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002981342949091517,0.17701618641979167,0.17403484
