date,bvsp,volume,moving_average_1,moving_average_2,moving_average_3,moving_average_9,moving_average_12,cmp_moving_average_1_moving_average_9,cmp_moving_average_1_moving_average_12,cmp_moving_average_2_moving_average_9,cmp_moving_average_2_moving_average_12,cmp_moving_average_3_moving_average_9,cmp_moving_average_3_moving_average_12,OBV,obv_ma_1,obv_ma_2,obv_ma_3,obv_ma_9,obv_ma_12,cmp_obv_ma_1_obv_ma_9,cmp_obv_ma_1_obv_ma_12,cmp_obv_ma_2_obv_ma_9,cmp_obv_ma_2_obv_ma_12,cmp_obv_ma_3_obv_ma_9,cmp_obv_ma_3_obv_ma_12,selic,bvsp_returns,risk premium,pred_moving_average_1,pred_moving_average_2,pred_moving_average_3,pred_moving_average_9,pred_moving_average_12,pred_cmp_moving_average_1_moving_average_9,pred_cmp_moving_average_1_moving_average_12,pred_cmp_moving_average_2_moving_average_9,pred_cmp_moving_average_2_moving_average_12,pred_cmp_moving_average_3_moving_average_9,pred_cmp_moving_average_3_moving_average_12,pred_OBV,pred_obv_ma_1,pred_obv_ma_2,pred_obv_ma_3,pred_obv_ma_9,pred_obv_ma_12,pred_cmp_obv_ma_1_obv_ma_9,pred_cmp_obv_ma_1_obv_ma_12,pred_cmp_obv_ma_2_obv_ma_9,pred_cmp_obv_ma_2_obv_ma_12,pred_cmp_obv_ma_3_obv_ma_9,pred_cmp_obv_ma_3_obv_ma_12
2007-01,44476.48,2661838288000.0,44476.48,43203.205,41895.13333333333,38774.427777777775,38659.545,1.0,1.0,1.0,1.0,1.0,1.0,1.443606030456064e+16,1.443606030456064e+16,1.443472938541664e+16,1.4433630747376306e+16,1.4428705300908632e+16,1.4427362861131696e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.002454584963916908,0.06073346652379352,0.05827888,0.006601254755480872,0.008662840672493826,0.009708279044525956,0.010819326223505302,0.010643337637758835,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.007477567160437848,0.007477567160437848,0.00709614250320284,0.0069984091745185495,0.007175962482278475,0.00728975855422509,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
2007-02,44642.33,2210915800000.0,44642.33,44559.405,43682.91333333334,39249.71,39181.21166666666,1.0,1.0,1.0,1.0,1.0,1.0,1.443827122036064e+16,1.443827122036064e+16,1.443716576246064e+16,1.443590999706464e+16,1.4430031827259488e+16,1.4428700937475854e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.002454584963916908,0.0037289371820792283,0.00127435,0.00660893313329294,0.008536343409131154,0.009438504327102071,0.010726931170765883,0.010544720715595982,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.007549583020773187,0.007549583020773187,0.0070307038882246875,0.006878213736284611,0.007022641926110351,0.007125227136686618,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
2007-03,43886.08,2898316854000.0,43886.08,44264.205,44334.96333333334,40066.89555555556,39620.8525,1.0,1.0,1.0,1.0,1.0,1.0,1.443537290350664e+16,1.443537290350664e+16,1.443682206193364e+16,1.4436568142809306e+16,1.4431319010193148e+16,1.4429565003254338e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.002435803224412467,-0.016940200029881947,-0.019376,0.006573920934195104,0.008563877690317308,0.009340110450620488,0.01056806997425316,0.010461610122930589,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.00745517653918526,0.00745517653918526,0.007039935335594272,0.006843506649734654,0.006873868701099184,0.007018980607479852,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
2007-04,45804.66,2788662515000.0,45804.66,44845.37,44777.69,41086.46,40275.24333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.443816156602164e+16,1.443816156602164e+16,1.443676723476414e+16,1.4437268563296306e+16,1.4432708274531084e+16,1.443084611650555e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.002416704178067455,0.04371727891850896,0.04130057,0.00666274566800684,0.008509670506965172,0.009273303314733514,0.010369866241373718,0.010337902755758223,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.007546011264868868,0.007546011264868868,0.007041407937728672,0.006806570219376029,0.006713296858090301,0.006861453437846166,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
2007-05,48954.51,2311245316000.0,48954.51,47379.58500000001,46215.083333333336,42406.170000000006,40991.05333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.444047281133764e+16,1.444047281133764e+16,1.443931718867964e+16,1.4438002426955306e+16,1.4434091825890528e+16,1.4432024477183442e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.002416704178067455,0.06876702064811746,0.06635032,0.006808574660176518,0.008273295885026937,0.009056401693545796,0.010113314093303412,0.010202584585048842,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.007621295144914275,0.007621295144914275,0.006972918763239244,0.006767870174993473,0.006553385323893934,0.006716560843674335,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
2007-06,52270.96,2008111335000.0,52270.96,50612.735,49010.043333333335,44188.252222222225,42302.6825,1.0,1.0,1.0,1.0,1.0,1.0,1.444248092267264e+16,1.444248092267264e+16,1.444147686700514e+16,1.4440371766677306e+16,1.4435964209266418e+16,1.4433582199314186e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.002377507849061078,0.0677455458138585,0.06536804,0.0069621167530003435,0.007971729281988284,0.008634644237812395,0.009766876601620381,0.009954631553542715,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.007686705082931455,0.007686705082931455,0.006914911995047401,0.006642923870221251,0.00633697434919589,0.0065250215257413036,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
2007-07,54396.23,1056748069000.0,54396.23,53333.595,51873.899999999994,46182.24111111111,43783.32000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.444353767074164e+16,1.444353767074164e+16,1.444300929670714e+16,1.4442163801583974e+16,1.4437687704085528e+16,1.4435072156294304e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.002336896674335247,0.040658713748513486,0.03832182,0.007060510639118238,0.007717945663058214,0.008202490324583415,0.009379244369787052,0.009674728844746096,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.0077211263943837705,0.0077211263943837705,0.006873752488353924,0.006548421533755011,0.006137771985783802,0.006341814689240222,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
2007-08,54170.45,1151761940000.0,54170.45,54283.34,53612.54666666666,47836.84777777778,45207.76416666667,1.0,1.0,1.0,1.0,1.0,1.0,1.444238590880164e+16,1.444238590880164e+16,1.444296178977164e+16,1.444280150073864e+16,1.4438904641586194e+16,1.4436269244602558e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.002336896674335247,-0.004150655293574723,-0.00648755,0.0070500576747383244,0.0076293598030136925,0.007940129791855688,0.009057588176725863,0.009405449037379648,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.007683610209004599,0.007683610209004599,0.006875028476431677,0.006514792691005189,0.005997117761837423,0.006194619323941719,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
2007-09,54641.11,106332651000.0,54641.11,54405.78,54402.59666666667,49249.20111111111,46741.83833333334,1.0,1.0,1.0,1.0,1.0,1.0,1.444249224145264e+16,1.444249224145264e+16,1.444243907512714e+16,1.4442805273665306e+16,1.4439915061050638e+16,1.4437674475366142e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.0023160262920845142,0.008688500833941903,0.00637247,0.007071847878543135,0.007617939418906536,0.00782091181453144,0.008783026127865946,0.009115444552997131,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.007687073768016417,0.007687073768016417,0.006889068061334658,0.006514593727032003,0.005880332992238557,0.00602183052118721,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
2007-10,60465.06,142896936000.0,60465.06,57553.085,56425.54,51025.71,48743.065833333334,1.0,1.0,1.0,1.0,1.0,1.0,1.444263513838864e+16,1.444263513838864e+16,1.444256368992064e+16,1.444250442954764e+16,1.4440645598142638e+16,1.4438891885451058e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.0023160262920845142,0.10658549945270135,0.10426947,0.0073414800067227596,0.007324379863186396,0.007515651119079803,0.008437672094396142,0.008737128457282762,0.027674509457831314,0.025193341636363636,0.019196279537572258,0.018215201779141106,0.0129015115060241,0.01426949426035503,0.007691728330521841,0.007691728330521841,0.00688572103443974,0.006530458636764269,0.005795897162392594,0.005872136366686043,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,0.013028504705882356,0.012805955333333341
